cat, val
Hirzenbach,12627
Schwamendingen-Mitte,11012
Saatlen,8388
Seebach,25817
Oerlikon,22815
Affoltern,26177
Wipkingen,16544
Hoengg,23797
Altstetten,32603
Albisrieden,22113
Weinegg,5248
Muehlebach,6164
Seefeld,5129
Witikon,10600
Hirslanden,7465
Hottingen,11172
Fluntern,8221
Oberstrass,10846
Unterstrass,22768
Escher Wyss,6088
Gewerbeschule,9578
Hard,13057
Langstrasse,11144
Werd,4574
Sihlfeld,21660
Friesenberg,10860
Alt-Wiedikon,17522
Enge,9489
Leimbach,6212
Wollishofen,17892
City,830
Lindenhof,955
Hochschulen,677
Rathaus,3266
